metric,n_games,r_raw,ci_lower_raw,ci_upper_raw,r_adj,ci_lower_adj,ci_upper_adj,diff
def_pass_epa,8,0.2624306632794666,0.19687082277613865,0.3216030109863995,0.2693252319066401,0.20722687500147194,0.3346160586099886,0.00689456862717347
def_rush_epa,1,0.10204243800810978,0.03257403080148489,0.17102449670898873,0.10119271775012838,0.03297092938621291,0.16863726647304392,-8.497202579813984E-4
def_rush_epa,2,0.16682106643720743,0.1000381962478101,0.23228197626887997,0.16422271747775577,0.1015610066891408,0.22892094247471775,-0.0025983489594516573
def_rush_epa,3,0.18175347266757097,0.11011094404191013,0.2517828931162568,0.17101281886234151,0.1004163561428838,0.24251566129777688,-0.010740653805229455
def_rush_epa,4,0.15808261328437725,0.08658356628214019,0.23199728595691038,0.15142965508022824,0.08486080065888621,0.22350858760011108,-0.006652958204149018
def_rush_epa,5,0.20646149219720067,0.1343991694610595,0.27250780355885645,0.19614837983530073,0.12825076621032797,0.26471621216927327,-0.01031311236189994
def_rush_epa,6,0.22557600903332486,0.1584582368120947,0.29747372359681773,0.2058533595035054,0.1403747594819422,0.272282598815918,-0.019722649529819475
def_rush_epa,7,0.2409140313282164,0.17328575713308342,0.304366683427196,0.21747080481909298,0.15796346056153704,0.2793400474267524,-0.02344322650912342
def_rush_epa,8,0.24503736072715399,0.1801895885742171,0.30751248537850073,0.22896116879017844,0.16600945393501762,0.2875080423878356,-0.016076191936975542
def_success,1,0.2800572296241234,0.21361508069490057,0.3436729059770901,0.24340816223487569,0.1798765741418291,0.30731434812710107,-0.0366490673892477
def_success,2,0.36207240268912505,0.3014429969987666,0.4172199464646424,0.30428512769687394,0.2450231643866032,0.3649651764601074,-0.057787274992251114
def_success,3,0.3981598476536068,0.3379026717925862,0.4544519420518471,0.35056712505118337,0.28881266752631346,0.4100492839339415,-0.04759272260242342
def_success,4,0.4149503427383581,0.35678681318436406,0.47140181727478403,0.3631709539123972,0.30483188292364605,0.4214453054553824,-0.05177938882596095
